externalKey,tier_short,tier_label,tier_order,segment,role_fit,organization,region,state,state_name,city,county,city_county,locale_code,locale_display,saipe_numeric,saipe_display,basis,phone,website,outreach_program,outreach_link,students,school_count,source,detail
CAND|Northeastern Technical College|SC,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Northeastern Technical College,Southeast,SC,,Cheraw,Chesterfield County,Cheraw / Chesterfield County,41,41,18.5,18.5%,Locale 41,(843) 921-6900,https://www.netc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Northeastern Technical College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'SC', 'City': 'Cheraw', 'County': 'Chesterfield County', 'ZIP': '29520', 'Locale': '41', 'Poverty Percent': '18.5', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Kyle Wagner', 'Leader Title': 'President', 'Phone': '(843) 921-6900', 'Website': 'https://www.netc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Northern Tier Career Center|PA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Northern Tier Career Center,Northeast,PA,,Towanda,Bradford County,Towanda / Bradford County,41,41,11.6,11.6%,Locale 41,(570) 265-8113,https://www.ntccschool.org/,,,,,Higher Ed seed file,"{'Institution': 'Northern Tier Career Center', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'PA', 'City': 'Towanda', 'County': 'Bradford County', 'ZIP': '18848-9731', 'Locale': '41', 'Poverty Percent': '11.6', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Gary Martell', 'Leader Title': 'Chief School Administrator', 'Phone': '(570) 265-8113', 'Website': 'https://www.ntccschool.org/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Northland Community and Technical College - Aerospace|MN,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Northland Community and Technical College - Aerospace,Northeast,MN,,Thief River Falls,Pennington County,Thief River Falls / Pennington County,41,41,10.7,10.7%,Locale 41,,,,,,,Higher Ed seed file,"{'Institution': 'Northland Community and Technical College - Aerospace', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'MN', 'City': 'Thief River Falls', 'County': 'Pennington County', 'ZIP': '56701-8437', 'Locale': '41', 'Poverty Percent': '10.7', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': '', 'Leader Title': '', 'Phone': '', 'Website': '', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Northshore Technical Community College|LA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Northshore Technical Community College,Southeast,LA,,Lacombe,St. Tammany Parish,Lacombe / St. Tammany Parish,41,41,10.2,10.2%,Locale 41,(985) 545-1500,https://northshorecollege.edu/,,,,,Higher Ed seed file,"{'Institution': 'Northshore Technical Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'LA', 'City': 'Lacombe', 'County': 'St. Tammany Parish', 'ZIP': '70445', 'Locale': '41', 'Poverty Percent': '10.2', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'James Carlson', 'Leader Title': 'Chancellor', 'Phone': '(985) 545-1500', 'Website': 'https://northshorecollege.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Northwest School of Wooden Boat Building|WA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Northwest School of Wooden Boat Building,West,WA,,Port Hadlock,Jefferson County,Port Hadlock / Jefferson County,41,41,10.5,10.5%,Locale 41,(360) 385-4948,https://www.nwswb.edu/,,,,,Higher Ed seed file,"{'Institution': 'Northwest School of Wooden Boat Building', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'WA', 'City': 'Port Hadlock', 'County': 'Jefferson County', 'ZIP': '98339', 'Locale': '41', 'Poverty Percent': '10.5', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Betsy Davis', 'Leader Title': 'Executive Director', 'Phone': '(360) 385-4948', 'Website': 'https://www.nwswb.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Northwest Technology Center-Alva|OK,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Northwest Technology Center-Alva,West,OK,,Alva,Woods County,Alva / Woods County,41,41,14.9,14.9%,Locale 41,(580) 327-0344,https://nwtech.edu/,,,,,Higher Ed seed file,"{'Institution': 'Northwest Technology Center-Alva', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'OK', 'City': 'Alva', 'County': 'Woods County', 'ZIP': '73717', 'Locale': '41', 'Poverty Percent': '14.9', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Daren Slater', 'Leader Title': 'Superintendent', 'Phone': '(580) 327-0344', 'Website': 'https://nwtech.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Oak Hills Christian College|MN,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Oak Hills Christian College,Northeast,MN,,Bemidji,Beltrami County,Bemidji / Beltrami County,41,41,17.3,17.3%,Locale 41,(218) 751-8670,https://www.oakhills.edu/,,,,,Higher Ed seed file,"{'Institution': 'Oak Hills Christian College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'MN', 'City': 'Bemidji', 'County': 'Beltrami County', 'ZIP': '56601-8834', 'Locale': '41', 'Poverty Percent': '17.3', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. Martin Giese', 'Leader Title': 'President', 'Phone': '(218) 751-8670', 'Website': 'https://www.oakhills.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Ohio State University-Lima Campus|OH,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Ohio State University-Lima Campus,Northeast,OH,,Lima,Allen County,Lima / Allen County,41,41,14.8,14.8%,Locale 41,(567) 242-7272,https://lima.osu.edu/,,,,,Higher Ed seed file,"{'Institution': 'Ohio State University-Lima Campus', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'OH', 'City': 'Lima', 'County': 'Allen County', 'ZIP': '45804', 'Locale': '41', 'Poverty Percent': '14.8', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. Meggie Young', 'Leader Title': 'Dean and Director', 'Phone': '(567) 242-7272', 'Website': 'https://lima.osu.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Ohio State University-Mansfield Campus|OH,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Ohio State University-Mansfield Campus,Northeast,OH,,Mansfield,Richland County,Mansfield / Richland County,41,41,13.5,13.5%,Locale 41,(419) 755-4317,https://mansfield.osu.edu/,,,,,Higher Ed seed file,"{'Institution': 'Ohio State University-Mansfield Campus', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'OH', 'City': 'Mansfield', 'County': 'Richland County', 'ZIP': '44906', 'Locale': '41', 'Poverty Percent': '13.5', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. Jason Opal', 'Leader Title': 'Dean and Director', 'Phone': '(419) 755-4317', 'Website': 'https://mansfield.osu.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Ohio University-Eastern Campus|OH,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Ohio University-Eastern Campus,Northeast,OH,,Saint Clairsville,Belmont County,Saint Clairsville / Belmont County,41,41,15.1,15.1%,Locale 41,(740) 695-1720,https://www.ohio.edu/eastern/,,,,,Higher Ed seed file,"{'Institution': 'Ohio University-Eastern Campus', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'OH', 'City': 'Saint Clairsville', 'County': 'Belmont County', 'ZIP': '43950', 'Locale': '41', 'Poverty Percent': '15.1', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'David Rohall', 'Leader Title': 'Dean of Campus and Community Relations', 'Phone': '(740) 695-1720', 'Website': 'https://www.ohio.edu/eastern/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Omega Graduate School|TN,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Omega Graduate School,Mid-Atlantic,TN,,Dayton,Rhea County,Dayton / Rhea County,41,41,14.0,14.0%,Locale 41,(423) 775-6596,https://www.ogs.edu/,,,,,Higher Ed seed file,"{'Institution': 'Omega Graduate School', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'TN', 'City': 'Dayton', 'County': 'Rhea County', 'ZIP': '37321-6736', 'Locale': '41', 'Poverty Percent': '14.0', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. Joshua Reichard', 'Leader Title': 'President CEO', 'Phone': '(423) 775-6596', 'Website': 'https://www.ogs.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Owensboro Community and Technical College|KY,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Owensboro Community and Technical College,Mid-Atlantic,KY,,Owensboro,Daviess County,Owensboro / Daviess County,41,41,14.2,14.2%,Locale 41,(270) 686-4400,https://owensboro.kctcs.edu/,,,,,Higher Ed seed file,"{'Institution': 'Owensboro Community and Technical College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'KY', 'City': 'Owensboro', 'County': 'Daviess County', 'ZIP': '42303', 'Locale': '41', 'Poverty Percent': '14.2', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. Scott Williams', 'Leader Title': 'President', 'Phone': '(270) 686-4400', 'Website': 'https://owensboro.kctcs.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Pacifica Graduate Institute|CA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Pacifica Graduate Institute,West,CA,,Carpinteria,Santa Barbara County,Carpinteria / Santa Barbara County,41,41,15.7,15.7%,Locale 41,8059693626101,https://www.pacifica.edu/,,,,,Higher Ed seed file,"{'Institution': 'Pacifica Graduate Institute', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'CA', 'City': 'Carpinteria', 'County': 'Santa Barbara County', 'ZIP': '93013', 'Locale': '41', 'Poverty Percent': '15.7', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Leonie Mattison', 'Leader Title': 'President', 'Phone': '8059693626101', 'Website': 'https://www.pacifica.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Patrick & Henry Community College|VA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Patrick & Henry Community College,Mid-Atlantic,VA,,Martinsville,Henry County,Martinsville / Henry County,41,41,16.0,16.0%,Locale 41,(276) 656-0200,https://www.patrickhenry.edu/,,,,,Higher Ed seed file,"{'Institution': 'Patrick & Henry Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'VA', 'City': 'Martinsville', 'County': 'Henry County', 'ZIP': '24112', 'Locale': '41', 'Poverty Percent': '16.0', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Greg Hodges', 'Leader Title': 'President', 'Phone': '(276) 656-0200', 'Website': 'https://www.patrickhenry.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Paul Mitchell the School-Fort Myers|FL,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Paul Mitchell the School-Fort Myers,Southeast,FL,,Fort Myers,Lee County,Fort Myers / Lee County,41,41,11.4,11.4%,Locale 41,(239) 332-2011,https://paulmitchell.edu/fortmyers,,,,,Higher Ed seed file,"{'Institution': 'Paul Mitchell the School-Fort Myers', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'FL', 'City': 'Fort Myers', 'County': 'Lee County', 'ZIP': '33913', 'Locale': '41', 'Poverty Percent': '11.4', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Tina Black', 'Leader Title': 'Owner', 'Phone': '(239) 332-2011', 'Website': 'https://paulmitchell.edu/fortmyers', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Pennsylvania Highlands Community College|PA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Pennsylvania Highlands Community College,Northeast,PA,,Johnstown,Cambria County,Johnstown / Cambria County,41,41,14.5,14.5%,Locale 41,(814) 262-6400,https://www.pennhighlands.edu/,,,,,Higher Ed seed file,"{'Institution': 'Pennsylvania Highlands Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'PA', 'City': 'Johnstown', 'County': 'Cambria County', 'ZIP': '15904-2949', 'Locale': '41', 'Poverty Percent': '14.5', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. Steve Nunez', 'Leader Title': 'President', 'Phone': '(814) 262-6400', 'Website': 'https://www.pennhighlands.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Pennsylvania State University-Penn State Fayette- Eberly|PA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Pennsylvania State University-Penn State Fayette- Eberly,Northeast,PA,,Lemont Furnace,Fayette County,Lemont Furnace / Fayette County,41,41,14.7,14.7%,Locale 41,(724) 430-4100,https://fayette.psu.edu/,,,,,Higher Ed seed file,"{'Institution': 'Pennsylvania State University-Penn State Fayette- Eberly', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'PA', 'City': 'Lemont Furnace', 'County': 'Fayette County', 'ZIP': '15456-1025', 'Locale': '41', 'Poverty Percent': '14.7', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. Lindsey Simon-Jones', 'Leader Title': 'Interim Chancellor and Chief Academic Officer', 'Phone': '(724) 430-4100', 'Website': 'https://fayette.psu.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Pennsylvania State University-Penn State New Kensington|PA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Pennsylvania State University-Penn State New Kensington,Northeast,PA,,New Kensington,Westmoreland County,New Kensington / Westmoreland County,41,41,10.5,10.5%,Locale 41,(724) 334-5466,https://newkensington.psu.edu/,,,,,Higher Ed seed file,"{'Institution': 'Pennsylvania State University-Penn State New Kensington', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'PA', 'City': 'New Kensington', 'County': 'Westmoreland County', 'ZIP': '15068-1765', 'Locale': '41', 'Poverty Percent': '10.5', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. Kevin J.G. Snider', 'Leader Title': 'Chancellor', 'Phone': '(724) 334-5466', 'Website': 'https://newkensington.psu.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Pennsylvania State University-Penn State Wilkes-Barre|PA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Pennsylvania State University-Penn State Wilkes-Barre,Northeast,PA,,Dallas,Luzerne County,Dallas / Luzerne County,41,41,13.4,13.4%,Locale 41,(570) 675-2171,https://wilkesbarre.psu.edu/,,,,,Higher Ed seed file,"{'Institution': 'Pennsylvania State University-Penn State Wilkes-Barre', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'PA', 'City': 'Dallas', 'County': 'Luzerne County', 'ZIP': '18627-0217', 'Locale': '41', 'Poverty Percent': '13.4', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. Lynda Goldstein', 'Leader Title': 'Chancellor', 'Phone': '(570) 675-2171', 'Website': 'https://wilkesbarre.psu.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Pfeiffer University|NC,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Pfeiffer University,Southeast,NC,,Misenheimer,Stanly County,Misenheimer / Stanly County,41,41,12.6,12.6%,Locale 41,(704) 463-1360,https://www.pfeiffer.edu/,,,,,Higher Ed seed file,"{'Institution': 'Pfeiffer University', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'NC', 'City': 'Misenheimer', 'County': 'Stanly County', 'ZIP': '28109-0960', 'Locale': '41', 'Poverty Percent': '12.6', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Scott Bullard, Ph.D.', 'Leader Title': 'President', 'Phone': '(704) 463-1360', 'Website': 'https://www.pfeiffer.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Piedmont Community College|NC,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Piedmont Community College,Southeast,NC,,Roxboro,Person County,Roxboro / Person County,41,41,14.3,14.3%,Locale 41,(336) 599-1181,https://www.piedmontcc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Piedmont Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'NC', 'City': 'Roxboro', 'County': 'Person County', 'ZIP': '27573', 'Locale': '41', 'Poverty Percent': '14.3', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. Pamela Senegal', 'Leader Title': 'President', 'Phone': '(336) 599-1181', 'Website': 'https://www.piedmontcc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Pontotoc Technology Center|OK,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Pontotoc Technology Center,West,OK,,Ada,Pontotoc County,Ada / Pontotoc County,41,41,13.2,13.2%,Locale 41,58031022002223,https://www.pontotoctech.edu/,,,,,Higher Ed seed file,"{'Institution': 'Pontotoc Technology Center', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'OK', 'City': 'Ada', 'County': 'Pontotoc County', 'ZIP': '74820', 'Locale': '41', 'Poverty Percent': '13.2', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Travis Graham', 'Leader Title': 'Superintendent', 'Phone': '58031022002223', 'Website': 'https://www.pontotoctech.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Radford M Locklin Technical College|FL,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Radford M Locklin Technical College,Southeast,FL,,Milton,Santa Rosa County,Milton / Santa Rosa County,41,41,10.3,10.3%,Locale 41,85098357003632,https://www.locklintech.com/,,,,,Higher Ed seed file,"{'Institution': 'Radford M Locklin Technical College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'FL', 'City': 'Milton', 'County': 'Santa Rosa County', 'ZIP': '32570-8188', 'Locale': '41', 'Poverty Percent': '10.3', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Keith Hines', 'Leader Title': 'Director', 'Phone': '85098357003632', 'Website': 'https://www.locklintech.com/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Red River Technology Center|OK,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Red River Technology Center,West,OK,,Duncan,Stephens County,Duncan / Stephens County,41,41,16.1,16.1%,Locale 41,(580) 255-2903,https://www.rrtc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Red River Technology Center', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'OK', 'City': 'Duncan', 'County': 'Stephens County', 'ZIP': '73533', 'Locale': '41', 'Poverty Percent': '16.1', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Brook Holding', 'Leader Title': 'Superintendent', 'Phone': '(580) 255-2903', 'Website': 'https://www.rrtc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Richard Bland College|VA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Richard Bland College,Mid-Atlantic,VA,,South Prince George,Dinwiddie County,South Prince George / Dinwiddie County,41,41,10.1,10.1%,Locale 41,(804) 862-6100,https://www.rbc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Richard Bland College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'VA', 'City': 'South Prince George', 'County': 'Dinwiddie County', 'ZIP': '23805-7100', 'Locale': '41', 'Poverty Percent': '10.1', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. Debbie Sydow', 'Leader Title': 'President', 'Phone': '(804) 862-6100', 'Website': 'https://www.rbc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Rio Hondo College|CA,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Rio Hondo College,West,CA,,Whittier,Los Angeles County,Whittier / Los Angeles County,41,41,13.3,13.3%,Locale 41,(562) 692-0921,https://www.riohondo.edu/,,,,,Higher Ed seed file,"{'Institution': 'Rio Hondo College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'CA', 'City': 'Whittier', 'County': 'Los Angeles County', 'ZIP': '90601-1616', 'Locale': '41', 'Poverty Percent': '13.3', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Marilyn Flores', 'Leader Title': 'Superintendent/President', 'Phone': '(562) 692-0921', 'Website': 'https://www.riohondo.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Rockingham Community College|NC,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Rockingham Community College,Southeast,NC,,Wentworth,Rockingham County,Wentworth / Rockingham County,41,41,17.2,17.2%,Locale 41,(336) 342-4261,https://www.rockinghamcc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Rockingham Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'NC', 'City': 'Wentworth', 'County': 'Rockingham County', 'ZIP': '27375', 'Locale': '41', 'Poverty Percent': '17.2', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. Sylvia Cox', 'Leader Title': 'President', 'Phone': '(336) 342-4261', 'Website': 'https://www.rockinghamcc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|SIT Graduate Institute|VT,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,SIT Graduate Institute,Northeast,VT,,Brattleboro,Windham County,Brattleboro / Windham County,41,41,11.4,11.4%,Locale 41,(802) 257-7751,https://www.sit.edu/,,,,,Higher Ed seed file,"{'Institution': 'SIT Graduate Institute', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'VT', 'City': 'Brattleboro', 'County': 'Windham County', 'ZIP': '05302-0676', 'Locale': '41', 'Poverty Percent': '11.4', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Sophia Howlett', 'Leader Title': 'President/CEO', 'Phone': '(802) 257-7751', 'Website': 'https://www.sit.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|SUNY Corning Community College|NY,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,SUNY Corning Community College,Northeast,NY,,Corning,Steuben County,Corning / Steuben County,41,41,14.5,14.5%,Locale 41,(607) 962-9222,https://www.corning-cc.edu/,,,,,Higher Ed seed file,"{'Institution': 'SUNY Corning Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'NY', 'City': 'Corning', 'County': 'Steuben County', 'ZIP': '14830', 'Locale': '41', 'Poverty Percent': '14.5', 'SAIPE Points': '10', 'Basis': 'Locale 41', 'Leader': 'Dr. William P. Mullaney', 'Leader Title': 'President', 'Phone': '(607) 962-9222', 'Website': 'https://www.corning-cc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
